編號,案類,發生(現)日期,發生時段,發生(現)地點
829,自行車竊盜,1060403,16~18,台北市大安區黎和里和平東路3段346巷1 ~ 30號
830,自行車竊盜,1060404,19~21,台北市南港區中南里忠孝東路7段511 ~ 540號
831,自行車竊盜,1060405,10~12,台北市萬華區德昌街185巷1 ~ 30號
832,自行車竊盜,1060406,13~15,台北市中山區復興北路421 ~ 450號
833,自行車竊盜,1060408,19~21,台北市內湖區內湖路一段285巷口捷運西湖站旁自行車停
834,自行車竊盜,1060408,19~21,台北市北投區吉利里致遠二路113巷1 ~ 30號
835,自行車竊盜,1060410,22~24,台北市大安區德安里四維路1 ~ 30號
836,自行車竊盜,1060413,16~18,台北市大安區芳和里和平東路3段151 ~ 180號
837,自行車竊盜,1060415,13~15,台北市信義區安康里信義路象山捷運站1 ~ 30號出口
838,自行車竊盜,1060416,01~03,台北市松山區八德路3段74巷14弄31 ~ 60號
839,自行車竊盜,1060416,22~24,台北市大安區龍坡里泰順街31 ~ 60號
840,自行車竊盜,1060420,16~18,台北市中山區新生北路3段1 ~ 30號
841,自行車竊盜,1060421,22~24,台北市大安區芳和里樂業街108巷1 ~ 30號
842,自行車竊盜,1060423,16~18,台北市信義區松壽路1 ~ 30號
843,自行車竊盜,1060424,13~15,台北市大安區學府里羅斯福路4段1 ~ 30號
844,自行車竊盜,1060427,07~09,台北市大安區古莊里羅斯福路2段61 ~ 90號
845,自行車竊盜,1060501,01~03,台北市中山區復興北路421 ~ 450號
846,自行車竊盜,1060502,07~09,台北市北投區榮光里西安街1段313巷1 ~ 30號
847,自行車竊盜,1060503,22~24,台北市南港區西新里南港路3段106巷5弄1 ~ 30號
848,自行車竊盜,1060504,01~03,台北市南港區西新里昆陽街60巷1 ~ 30號
849,自行車竊盜,1060504,01~03,台北市南港區玉成里南港路3段121 ~ 150號
850,自行車竊盜,1060504,10~12,台北市大同區南京西路64段1 ~ 30號
851,自行車竊盜,1060505,07~09,台北市中正區富水里思源街1 ~ 30號
852,自行車竊盜,1060505,10~12,台北市大安區學府里羅斯福路4段1 ~ 30號
853,自行車竊盜,1060505,16~18,台北市中正區永昌里寧波西街181 ~ 210號
854,自行車竊盜,1060506,01~03,台北市松山區八德路2段410巷88弄1 ~ 30號
855,自行車竊盜,1060506,16~18,台北市中正區愛國里延平南路258巷與和平西路口
856,自行車竊盜,1060506,19~21,台北市中正區幸福里成功高中校門左側
857,自行車竊盜,1060508,19~21,台北市士林區蘭雅里德行東路109巷1 ~ 30號
858,自行車竊盜,1060509,16~18,台北市大安區龍圖里信義路3段91 ~ 120號
859,自行車竊盜,1060510,10~12,台北市松山區健康路325巷24弄1 ~ 30號
860,自行車竊盜,1060512,01~03,台北市松山區健康路325巷12弄1 ~ 30號
861,自行車竊盜,1060513,16~18,台北市大同區延平里重慶北路2段民生西路人行道
862,自行車竊盜,1060514,04~06,台北市北投區福興里承德路7段91 ~ 120號
863,自行車竊盜,1060514,16~18,台北市文山區興得里25鄰興隆路3段211 ~ 240號
864,自行車竊盜,1060514,19~21,台北市文山區萬芳里005鄰萬安街1 ~ 30號
865,自行車竊盜,1060516,01~03,台北市信義區永春里松山路287巷1 ~ 30號
866,自行車竊盜,1060518,04~06,台北市大同區至聖里承德路3段214巷1 ~ 30號
867,自行車竊盜,1060518,07~09,台北市內湖區康寧路3段189巷11弄1 ~ 30號
868,自行車竊盜,1060521,07~09,台北市信義區雅祥里基隆路1段1 ~ 30號
869,自行車竊盜,1060522,04~06,台北市士林區芝山里德行東路301 ~ 330號
870,自行車竊盜,1060522,13~15,台北市中正區南門里廣州街8巷口（南門國中旁）
871,自行車竊盜,1060526,10~12,台北市北投區福興里自強街5段1 ~ 30號
872,自行車竊盜,1060526,16~18,台北市中正區文北里杭州南路1段71巷1 ~ 30號
873,自行車竊盜,1060527,16~18,台北市內湖區內湖路一段571 ~ 600號
874,自行車竊盜,1060530,10~12,台北市北投區關渡里大度路3段301巷121 ~ 150號
875,自行車竊盜,1060604,13~15,台北市大安區華聲里光復南路211 ~ 240號
876,自行車竊盜,1060605,13~15,台北市內湖區成功路2段301 ~ 330號
877,自行車竊盜,1060605,22~24,台北市信義區永吉里松隆路松山路口旁廣場
878,自行車竊盜,1060607,13~15,台北市大安區龍生里建國南路2段211 ~ 240號
879,自行車竊盜,1060608,19~21,台北市大安區群賢里復興南路2段捷運科技大樓站外人行道
880,自行車竊盜,1060609,10~12,台北市北投區中央里中央北路1段61 ~ 90號
881,自行車竊盜,1060610,10~12,台北市文山區景興街201巷12弄1 ~ 30號
882,自行車竊盜,1060610,13~15,台北市北投區中央里中央南路1段91 ~ 120號
883,自行車竊盜,1060611,07~09,台北市大安區群賢里四維路228巷211 ~ 240號
884,自行車竊盜,1060619,07~09,台北市文山區萬有里景興路10巷1 ~ 30號
885,自行車竊盜,1060620,07~09,台北市文山區樟文里002鄰忠順街1段26巷26弄1 ~ 30號
886,自行車竊盜,1060621,04~06,台北市萬華區東園街121 ~ 150號
887,自行車竊盜,1060622,07~09,台北市南港區舊莊里舊莊街1段290巷31 ~ 60號
888,自行車竊盜,1060623,01~03,台北市北投區大同里光明路1 ~ 30號
889,自行車竊盜,1060623,13~15,台北市大安區德安里敦化南路1段331 ~ 360號
890,自行車竊盜,1060624,10~12,台北市信義區四育里虎林街30巷1 ~ 30號
891,自行車竊盜,1060624,10~12,台北市信義區五常里永吉路225巷32弄1 ~ 30號
